code,title
H26.011,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.011)  Infantile and juvenile cortical, lamellar, or zonular cataract, right eye"
H26.012,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.012)  Infantile and juvenile cortical, lamellar, or zonular cataract, left eye"
H26.013,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.013)  Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral"
H26.019,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.019)  Infantile and juvenile cortical, lamellar, or zonular cataract, unspecified eye"
H26.031,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.031)  Infantile and juvenile nuclear cataract, right eye"
H26.032,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.032)  Infantile and juvenile nuclear cataract, left eye"
H26.033,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.033)  Infantile and juvenile nuclear cataract, bilateral"
H26.039,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.039)  Infantile and juvenile nuclear cataract, unspecified eye"
H26.041,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.041)  Anterior subcapsular polar infantile and juvenile cataract, right eye"
H26.042,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.042)  Anterior subcapsular polar infantile and juvenile cataract, left eye"
H26.043,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.043)  Anterior subcapsular polar infantile and juvenile cataract, bilateral"
H26.049,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.049)  Anterior subcapsular polar infantile and juvenile cataract, unspecified eye"
H26.051,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.051)  Posterior subcapsular polar infantile and juvenile cataract, right eye"
H26.052,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.052)  Posterior subcapsular polar infantile and juvenile cataract, left eye"
H26.053,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.053)  Posterior subcapsular polar infantile and juvenile cataract, bilateral"
H26.059,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.059)  Posterior subcapsular polar infantile and juvenile cataract, unspecified eye"
H26.061,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.061)  Combined forms of infantile and juvenile cataract, right eye"
H26.062,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.062)  Combined forms of infantile and juvenile cataract, left eye"
H26.063,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.063)  Combined forms of infantile and juvenile cataract, bilateral"
H26.069,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.069)  Combined forms of infantile and juvenile cataract, unspecified eye"
H26.09,(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.09)  Other infantile and juvenile cataract
L12.2,(https://www.icd10data.com/ICD10CM/Codes/L00-L99/L10-L14/L12-/L12.2)  Chronic bullous disease of childhood
L20.83,(https://www.icd10data.com/ICD10CM/Codes/L00-L99/L20-L30/L20-/L20.83)  Infantile (acute) (chronic) eczema
L21.1,(https://www.icd10data.com/ICD10CM/Codes/L00-L99/L20-L30/L21-/L21.1)  Seborrheic infantile dermatitis
L44.4,(https://www.icd10data.com/ICD10CM/Codes/L00-L99/L40-L45/L44-/L44.4)  Infantile papular acrodermatitis Gianotti-Crosti
L70.4,(https://www.icd10data.com/ICD10CM/Codes/L00-L99/L60-L75/L70-/L70.4)  Infantile acne
N92.2,(https://www.icd10data.com/ICD10CM/Codes/N00-N99/N80-N98/N92-/N92.2)  Excessive menstruation at puberty
R04.81,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R00-R09/R04-/R04.81)  Acute idiopathic pulmonary hemorrhage in infants
R10.83,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R10-R19/R10-/R10.83)  Colic
R62.0,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R62-/R62.0)  Delayed milestone in childhood
R62.51,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R62-/R62.51)  Failure to thrive (child)
R63.31,"(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R63-/R63.31)  Pediatric feeding disorder, acute"
R63.32,"(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R63-/R63.32)  Pediatric feeding disorder, chronic"
R68.11,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R68-/R68.11)  Excessive crying of infant (baby)
R68.12,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R68-/R68.12)  Fussy infant (baby)
R68.13,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R68-/R68.13)  Apparent life threatening event in infant (ALTE)
R68.19,(https://www.icd10data.com/ICD10CM/Codes/R00-R99/R50-R69/R68-/R68.19)  Other nonspecific symptoms peculiar to infancy
T74.02XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.02XA)  Child neglect or abandonment, confirmed, initial encounter"
T74.02XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.02XD)  Child neglect or abandonment, confirmed, subsequent encounter"
T74.02XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.02XS)  Child neglect or abandonment, confirmed, sequela"
T74.12XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.12XA)  Child physical abuse, confirmed, initial encounter"
T74.12XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.12XD)  Child physical abuse, confirmed, subsequent encounter"
T74.12XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.12XS)  Child physical abuse, confirmed, sequela"
T74.22XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.22XA)  Child sexual abuse, confirmed, initial encounter"
T74.22XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.22XD)  Child sexual abuse, confirmed, subsequent encounter"
T74.22XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.22XS)  Child sexual abuse, confirmed, sequela"
T74.32XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.32XA)  Child psychological abuse, confirmed, initial encounter"
T74.32XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.32XD)  Child psychological abuse, confirmed, subsequent encounter"
T74.32XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.32XS)  Child psychological abuse, confirmed, sequela"
T74.4XXA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.4XXA)  Shaken infant syndrome, initial encounter"
T74.4XXD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.4XXD)  Shaken infant syndrome, subsequent encounter"
T74.4XXS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.4XXS)  Shaken infant syndrome, sequela"
T74.52XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.52XA)  Child sexual exploitation, confirmed, initial encounter"
T74.52XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.52XD)  Child sexual exploitation, confirmed, subsequent encounter"
T74.52XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.52XS)  Child sexual exploitation, confirmed, sequela"
T74.62XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.62XA)  Child forced labor exploitation, confirmed, initial encounter"
T74.62XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.62XD)  Child forced labor exploitation, confirmed, subsequent encounter"
T74.62XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.62XS)  Child forced labor exploitation, confirmed, sequela"
T74.92XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.92XA)  Unspecified child maltreatment, confirmed, initial encounter"
T74.92XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.92XD)  Unspecified child maltreatment, confirmed, subsequent encounter"
T74.92XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.92XS)  Unspecified child maltreatment, confirmed, sequela"
T74.A2XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.A2XA)  Child financial abuse, confirmed, initial encounter"
T74.A2XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.A2XD)  Child financial abuse, confirmed, subsequent encounter"
T74.A2XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T74-/T74.A2XS)  Child financial abuse, confirmed, sequela"
T76.02XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.02XA)  Child neglect or abandonment, suspected, initial encounter"
T76.02XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.02XD)  Child neglect or abandonment, suspected, subsequent encounter"
T76.02XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.02XS)  Child neglect or abandonment, suspected, sequela"
T76.12XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.12XA)  Child physical abuse, suspected, initial encounter"
T76.12XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.12XD)  Child physical abuse, suspected, subsequent encounter"
T76.12XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.12XS)  Child physical abuse, suspected, sequela"
T76.22XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.22XA)  Child sexual abuse, suspected, initial encounter"
T76.22XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.22XD)  Child sexual abuse, suspected, subsequent encounter"
T76.22XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.22XS)  Child sexual abuse, suspected, sequela"
T76.32XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.32XA)  Child psychological abuse, suspected, initial encounter"
T76.32XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.32XD)  Child psychological abuse, suspected, subsequent encounter"
T76.32XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.32XS)  Child psychological abuse, suspected, sequela"
T76.52XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.52XA)  Child sexual exploitation, suspected, initial encounter"
T76.52XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.52XD)  Child sexual exploitation, suspected, subsequent encounter"
T76.52XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.52XS)  Child sexual exploitation, suspected, sequela"
T76.62XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.62XA)  Child forced labor exploitation, suspected, initial encounter"
T76.62XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.62XD)  Child forced labor exploitation, suspected, subsequent encounter"
T76.62XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.62XS)  Child forced labor exploitation, suspected, sequela"
T76.92XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.92XA)  Unspecified child maltreatment, suspected, initial encounter"
T76.92XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.92XD)  Unspecified child maltreatment, suspected, subsequent encounter"
T76.92XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.92XS)  Unspecified child maltreatment, suspected, sequela"
T76.A2XA,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.A2XA)  Child financial abuse, suspected, initial encounter"
T76.A2XD,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.A2XD)  Child financial abuse, suspected, subsequent encounter"
T76.A2XS,"(https://www.icd10data.com/ICD10CM/Codes/S00-T88/T66-T78/T76-/T76.A2XS)  Child financial abuse, suspected, sequela"
Z00.121,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z00-/Z00.121)  Encounter for routine child health examination with abnormal findings
Z00.129,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z00-/Z00.129)  Encounter for routine child health examination without abnormal findings
Z00.2,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z00-/Z00.2)  Encounter for examination for period of rapid growth in childhood
Z00.3,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z00-/Z00.3)  Encounter for examination for adolescent development state
Z00.70,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z00-/Z00.70)  Encounter for examination for period of delayed growth in childhood without abnormal findings
Z00.71,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z00-/Z00.71)  Encounter for examination for period of delayed growth in childhood with abnormal findings
Z04.42,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z04-/Z04.42)  Encounter for examination and observation following alleged child rape
Z04.72,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z00-Z13/Z04-/Z04.72)  Encounter for examination and observation following alleged child physical abuse
Z62.21,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z55-Z65/Z62-/Z62.21)  Child in welfare custody
Z62.3,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z55-Z65/Z62-/Z62.3)  Hostility towards and scapegoating of child
Z69.010,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z69-/Z69.010)  Encounter for mental health services for victim of parental child abuse
Z69.020,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z69-/Z69.020)  Encounter for mental health services for victim of non-parental child abuse
Z72.810,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z72-/Z72.810)  Child and adolescent antisocial behavior
Z73.810,"(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z73-/Z73.810)  Behavioral insomnia of childhood, sleep-onset association type"
Z73.811,"(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z73-/Z73.811)  Behavioral insomnia of childhood, limit setting type"
Z73.812,"(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z73-/Z73.812)  Behavioral insomnia of childhood, combined type"
Z73.819,"(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z73-/Z73.819)  Behavioral insomnia of childhood, unspecified type"
Z76.2,(https://www.icd10data.com/ICD10CM/Codes/Z00-Z99/Z69-Z76/Z76-/Z76.2)  Encounter for health supervision and care of other healthy infant and child
