code
A18.16  Tuberculosis of cervix
N72  Inflammatory disease of cervix uteri
N73.0  Acute parametritis and pelvic cellulitis
N73.1  Chronic parametritis and pelvic cellulitis
N73.2  Unspecified parametritis and pelvic cellulitis
N73.3  Female acute pelvic peritonitis
N73.4  Female chronic pelvic peritonitis
"N73.5  Female pelvic peritonitis, unspecified"
N73.6  Female pelvic peritoneal adhesions (postinfective)
N73.8  Other specified female pelvic inflammatory diseases
"N73.9  Female pelvic inflammatory disease, unspecified"
N74  Female pelvic inflammatory disorders in diseases classified elsewhere
N75.0  Cyst of Bartholin's gland
N75.1  Abscess of Bartholin's gland
N75.8  Other diseases of Bartholin's gland
"N75.9  Disease of Bartholin's gland, unspecified"
N76.0  Acute vaginitis
N76.1  Subacute and chronic vaginitis
N76.2  Acute vulvitis
N76.3  Subacute and chronic vulvitis
N76.4  Abscess of vulva
N76.5  Ulceration of vagina
N76.6  Ulceration of vulva
N76.81  Mucositis (ulcerative) of vagina and vulva
N76.82  Fournier disease of vagina and vulva
N76.89  Other specified inflammation of vagina and vulva
N77.0  Ulceration of vulva in diseases classified elsewhere
"N77.1  Vaginitis, vulvitis and vulvovaginitis in diseases classified elsewhere"
"N80.00  Endometriosis of the uterus, unspecified"
N80.01  Superficial endometriosis of the uterus
N80.02  Deep endometriosis of the uterus
N80.03  Adenomyosis of the uterus
"N80.101  Endometriosis of right ovary, unspecified depth"
"N80.102  Endometriosis of left ovary, unspecified depth"
"N80.103  Endometriosis of bilateral ovaries, unspecified depth"
"N80.109  Endometriosis of ovary, unspecified side, unspecified depth"
N80.111  Superficial endometriosis of right ovary
N80.112  Superficial endometriosis of left ovary
N80.113  Superficial endometriosis of bilateral ovaries
"N80.119  Superficial endometriosis of ovary, unspecified ovary"
N80.121  Deep endometriosis of right ovary
N80.122  Deep endometriosis of left ovary
N80.123  Deep endometriosis of bilateral ovaries
"N80.129  Deep endometriosis of ovary, unspecified ovary"
"N80.201  Endometriosis of right fallopian tube, unspecified depth"
"N80.202  Endometriosis of left fallopian tube, unspecified depth"
"N80.203  Endometriosis of bilateral fallopian tubes, unspecified depth"
"N80.209  Endometriosis of unspecified fallopian tube, unspecified depth"
N80.211  Superficial endometriosis of right fallopian tube
N80.212  Superficial endometriosis of left fallopian tube
N80.213  Superficial endometriosis of bilateral fallopian tubes
N80.219  Superficial endometriosis of unspecified fallopian tube
N80.221  Deep endometriosis of right fallopian tube
N80.222  Deep endometriosis of left fallopian tube
N80.223  Deep endometriosis of bilateral fallopian tubes
N80.229  Deep endometriosis of unspecified fallopian tube
"N80.30  Endometriosis of pelvic peritoneum, unspecified"
N80.311  Superficial endometriosis of the anterior cul-de-sac
N80.312  Deep endometriosis of the anterior cul-de-sac
"N80.319  Endometriosis of the anterior cul-de-sac, unspecified depth"
N80.321  Superficial endometriosis of the posterior cul-de-sac
N80.322  Deep endometriosis of the posterior cul-de-sac
"N80.329  Endometriosis of the posterior cul-de-sac, unspecified depth"
N80.331  Superficial endometriosis of the right pelvic sidewall
N80.332  Superficial endometriosis of the left pelvic sidewall
N80.333  Superficial endometriosis of bilateral pelvic sidewall
"N80.339  Superficial endometriosis of pelvic sidewall, unspecified side"
N80.341  Deep endometriosis of the right pelvic sidewall
N80.342  Deep endometriosis of the left pelvic sidewall
N80.343  Deep endometriosis of the bilateral pelvic sidewall
"N80.349  Deep endometriosis of the pelvic sidewall, unspecified side"
"N80.351  Endometriosis of the right pelvic sidewall, unspecified depth"
"N80.352  Endometriosis of the left pelvic sidewall, unspecified depth"
"N80.353  Endometriosis of bilateral pelvic sidewall, unspecified depth"
"N80.359  Endometriosis of pelvic sidewall, unspecified side, unspecified depth"
N80.361  Superficial endometriosis of the right pelvic brim
N80.362  Superficial endometriosis of the left pelvic brim
N80.363  Superficial endometriosis of bilateral pelvic brim
"N80.369  Superficial endometriosis of the pelvic brim, unspecified side"
N80.371  Deep endometriosis of the right pelvic brim
N80.372  Deep endometriosis of the left pelvic brim
N80.373  Deep endometriosis of bilateral pelvic brim
"N80.379  Deep endometriosis of the pelvic brim, unspecified side"
"N80.381  Endometriosis of the right pelvic brim, unspecified depth"
"N80.382  Endometriosis of the left pelvic brim, unspecified depth"
"N80.383  Endometriosis of bilateral pelvic brim, unspecified depth"
"N80.389  Endometriosis of the pelvic brim, unspecified side, unspecified depth"
"N80.391  Superficial endometriosis of the pelvic peritoneum, other specified sites"
"N80.392  Deep endometriosis of the pelvic peritoneum, other specified sites"
"N80.399  Endometriosis of the pelvic peritoneum, other specified sites, unspecified depth"
N80.3A1  Superficial endometriosis of the right uterosacral ligament
N80.3A2  Superficial endometriosis of the left uterosacral ligament
N80.3A3  Superficial endometriosis of the bilateral uterosacral ligament(s)
"N80.3A9  Superficial endometriosis of the uterosacral ligament(s), unspecified side"
N80.3B1  Deep endometriosis of the right uterosacral ligament
N80.3B2  Deep endometriosis of the left uterosacral ligament
N80.3B3  Deep endometriosis of bilateral uterosacral ligament(s)
"N80.3B9  Deep endometriosis of the uterosacral ligament(s), unspecified side"
"N80.3C1  Endometriosis of the right uterosacral ligament, unspecified depth"
"N80.3C2  Endometriosis of the left uterosacral ligament, unspecified depth"
"N80.3C3  Endometriosis of bilateral uterosacral ligament(s), unspecified depth"
"N80.3C9  Endometriosis of the uterosacral ligament(s), unspecified side, unspecified depth"
"N80.40  Endometriosis of rectovaginal septum, unspecified involvement of vagina"
N80.41  Endometriosis of rectovaginal septum without involvement of vagina
N80.42  Endometriosis of rectovaginal septum with involvement of vagina
"N80.50  Endometriosis of intestine, unspecified"
N80.511  Superficial endometriosis of the rectum
N80.512  Deep endometriosis of the rectum
"N80.519  Endometriosis of the rectum, unspecified depth"
N80.521  Superficial endometriosis of the sigmoid colon
N80.522  Deep endometriosis of the sigmoid colon
"N80.529  Endometriosis of the sigmoid colon, unspecified depth"
N80.531  Superficial endometriosis of the cecum
N80.532  Deep endometriosis of the cecum
"N80.539  Endometriosis of the cecum, unspecified depth"
N80.541  Superficial endometriosis of the appendix
N80.542  Deep endometriosis of the appendix
"N80.549  Endometriosis of the appendix, unspecified depth"
N80.551  Superficial endometriosis of other parts of the colon
N80.552  Deep endometriosis of other parts of the colon
"N80.559  Endometriosis of other parts of the colon, unspecified depth"
N80.561  Superficial endometriosis of the small intestine
N80.562  Deep endometriosis of the small intestine
"N80.569  Endometriosis of the small intestine, unspecified depth"
N80.6  Endometriosis in cutaneous scar
N80.8  Other endometriosis
"N80.9  Endometriosis, unspecified"
"N80.A0  Endometriosis of bladder, unspecified depth"
N80.A1  Superficial endometriosis of bladder
N80.A2  Deep endometriosis of bladder
N80.A41  Superficial endometriosis of right ureter
N80.A42  Superficial endometriosis of left ureter
N80.A43  Superficial endometriosis of bilateral ureters
N80.A49  Superficial endometriosis of unspecified ureter
N80.A51  Deep endometriosis of right ureter
N80.A52  Deep endometriosis of left ureter
N80.A53  Deep endometriosis of bilateral ureters
N80.A59  Deep endometriosis of unspecified ureter
"N80.A61  Endometriosis of right ureter, unspecified depth"
"N80.A62  Endometriosis of left ureter, unspecified depth"
"N80.A63  Endometriosis of bilateral ureters, unspecified depth"
"N80.A69  Endometriosis of unspecified ureter, unspecified depth"
N80.B1  Endometriosis of pleura
N80.B2  Endometriosis of lung
N80.B31  Superficial endometriosis of diaphragm
N80.B32  Deep endometriosis of diaphragm
"N80.B39  Endometriosis of diaphragm, unspecified depth"
N80.B4  Endometriosis of the pericardial space
N80.B5  Endometriosis of the mediastinal space
N80.B6  Endometriosis of cardiothoracic space
"N80.C0  Endometriosis of the abdomen, unspecified"
"N80.C10  Endometriosis of the anterior abdominal wall, subcutaneous tissue"
"N80.C11  Endometriosis of the anterior abdominal wall, fascia and muscular layers"
"N80.C19  Endometriosis of the anterior abdominal wall, unspecified depth"
N80.C2  Endometriosis of the umbilicus
N80.C3  Endometriosis of the inguinal canal
N80.C4  Endometriosis of extra-pelvic abdominal peritoneum
N80.C9  Endometriosis of other site of abdomen
"N80.D0  Endometriosis of the pelvic nerves, unspecified"
N80.D1  Endometriosis of the sacral splanchnic nerves
N80.D2  Endometriosis of the sacral nerve roots
N80.D3  Endometriosis of the obturator nerve
N80.D4  Endometriosis of the sciatic nerve
N80.D5  Endometriosis of the pudendal nerve
N80.D6  Endometriosis of the femoral nerve
N80.D9  Endometriosis of other pelvic nerve
N81.0  Urethrocele
"N81.10  Cystocele, unspecified"
"N81.11  Cystocele, midline"
"N81.12  Cystocele, lateral"
N81.2  Incomplete uterovaginal prolapse
N81.3  Complete uterovaginal prolapse
"N81.4  Uterovaginal prolapse, unspecified"
N81.5  Vaginal enterocele
N81.6  Rectocele
N81.81  Perineocele
N81.82  Incompetence or weakening of pubocervical tissue
N81.83  Incompetence or weakening of rectovaginal tissue
N81.84  Pelvic muscle wasting
N81.85  Cervical stump prolapse
N81.89  Other female genital prolapse
"N81.9  Female genital prolapse, unspecified"
N82.0  Vesicovaginal fistula
N82.1  Other female urinary-genital tract fistulae
N82.2  Fistula of vagina to small intestine
N82.3  Fistula of vagina to large intestine
N82.4  Other female intestinal-genital tract fistulae
N82.5  Female genital tract-skin fistulae
N82.8  Other female genital tract fistulae
"N82.9  Female genital tract fistula, unspecified"
"N83.00  Follicular cyst of ovary, unspecified side"
N83.01  Follicular cyst of right ovary
N83.02  Follicular cyst of left ovary
"N83.10  Corpus luteum cyst of ovary, unspecified side"
N83.11  Corpus luteum cyst of right ovary
N83.12  Corpus luteum cyst of left ovary
"N83.201  Unspecified ovarian cyst, right side"
"N83.202  Unspecified ovarian cyst, left side"
"N83.209  Unspecified ovarian cyst, unspecified side"
"N83.291  Other ovarian cyst, right side"
"N83.292  Other ovarian cyst, left side"
"N83.299  Other ovarian cyst, unspecified side"
N83.311  Acquired atrophy of right ovary
N83.312  Acquired atrophy of left ovary
"N83.319  Acquired atrophy of ovary, unspecified side"
N83.321  Acquired atrophy of right fallopian tube
N83.322  Acquired atrophy of left fallopian tube
"N83.329  Acquired atrophy of fallopian tube, unspecified side"
N83.331  Acquired atrophy of right ovary and fallopian tube
N83.332  Acquired atrophy of left ovary and fallopian tube
"N83.339  Acquired atrophy of ovary and fallopian tube, unspecified side"
"N83.40  Prolapse and hernia of ovary and fallopian tube, unspecified side"
N83.41  Prolapse and hernia of right ovary and fallopian tube
N83.42  Prolapse and hernia of left ovary and fallopian tube
N83.511  Torsion of right ovary and ovarian pedicle
N83.512  Torsion of left ovary and ovarian pedicle
"N83.519  Torsion of ovary and ovarian pedicle, unspecified side"
N83.521  Torsion of right fallopian tube
N83.522  Torsion of left fallopian tube
"N83.529  Torsion of fallopian tube, unspecified side"
"N83.53  Torsion of ovary, ovarian pedicle and fallopian tube"
N83.6  Hematosalpinx
N83.7  Hematoma of broad ligament
"N83.8  Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
"N83.9  Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
N84.0  Polyp of corpus uteri
N84.1  Polyp of cervix uteri
N84.2  Polyp of vagina
N84.3  Polyp of vulva
N84.8  Polyp of other parts of female genital tract
"N84.9  Polyp of female genital tract, unspecified"
"N85.00  Endometrial hyperplasia, unspecified"
N85.01  Benign endometrial hyperplasia
N85.02  Endometrial intraepithelial neoplasia [EIN]
N85.2  Hypertrophy of uterus
N85.3  Subinvolution of uterus
N85.4  Malposition of uterus
N85.5  Inversion of uterus
N85.6  Intrauterine synechiae
N85.7  Hematometra
N85.8  Other specified noninflammatory disorders of uterus
"N85.9  Noninflammatory disorder of uterus, unspecified"
N86  Erosion and ectropion of cervix uteri
N87.0  Mild cervical dysplasia
N87.1  Moderate cervical dysplasia
"N87.9  Dysplasia of cervix uteri, unspecified"
N88.0  Leukoplakia of cervix uteri
N88.1  Old laceration of cervix uteri
N88.2  Stricture and stenosis of cervix uteri
N88.3  Incompetence of cervix uteri
N88.4  Hypertrophic elongation of cervix uteri
N88.8  Other specified noninflammatory disorders of cervix uteri
"N88.9  Noninflammatory disorder of cervix uteri, unspecified"
N89.0  Mild vaginal dysplasia
N89.1  Moderate vaginal dysplasia
"N89.3  Dysplasia of vagina, unspecified"
N89.4  Leukoplakia of vagina
N89.5  Stricture and atresia of vagina
N89.6  Tight hymenal ring
N89.7  Hematocolpos
N89.8  Other specified noninflammatory disorders of vagina
"N89.9  Noninflammatory disorder of vagina, unspecified"
N90.0  Mild vulvar dysplasia
N90.1  Moderate vulvar dysplasia
"N90.3  Dysplasia of vulva, unspecified"
N90.4  Leukoplakia of vulva
N90.5  Atrophy of vulva
N90.60  Unspecified hypertrophy of vulva
N90.61  Childhood asymmetric labium majus enlargement
N90.69  Other specified hypertrophy of vulva
N90.7  Vulvar cyst
"N90.810  Female genital mutilation status, unspecified"
N90.811  Female genital mutilation Type I status
N90.812  Female genital mutilation Type II status
N90.813  Female genital mutilation Type III status
N90.818  Other female genital mutilation status
N90.89  Other specified noninflammatory disorders of vulva and perineum
"N90.9  Noninflammatory disorder of vulva and perineum, unspecified"
N91.0  Primary amenorrhea
N91.1  Secondary amenorrhea
"N91.2  Amenorrhea, unspecified"
N91.3  Primary oligomenorrhea
N91.4  Secondary oligomenorrhea
"N91.5  Oligomenorrhea, unspecified"
N92.0  Excessive and frequent menstruation with regular cycle
N92.1  Excessive and frequent menstruation with irregular cycle
N92.2  Excessive menstruation at puberty
N92.3  Ovulation bleeding
N92.4  Excessive bleeding in the premenopausal period
N92.5  Other specified irregular menstruation
"N92.6  Irregular menstruation, unspecified"
N93.0  Postcoital and contact bleeding
N93.1  Pre-pubertal vaginal bleeding
N93.8  Other specified abnormal uterine and vaginal bleeding
"N93.9  Abnormal uterine and vaginal bleeding, unspecified"
N94.0  Mittelschmerz
N94.10  Unspecified dyspareunia
N94.11  Superficial (introital) dyspareunia
N94.12  Deep dyspareunia
N94.19  Other specified dyspareunia
N94.2  Vaginismus
N94.3  Premenstrual tension syndrome
N94.4  Primary dysmenorrhea
N94.5  Secondary dysmenorrhea
"N94.6  Dysmenorrhea, unspecified"
N94.810  Vulvar vestibulitis
N94.818  Other vulvodynia
"N94.819  Vulvodynia, unspecified"
N94.89  Other specified conditions associated with female genital organs and menstrual cycle
N94.9  Unspecified condition associated with female genital organs and menstrual cycle
N95.0  Postmenopausal bleeding
N95.1  Menopausal and female climacteric states
N95.2  Postmenopausal atrophic vaginitis
N95.8  Other specified menopausal and perimenopausal disorders
N95.9  Unspecified menopausal and perimenopausal disorder
N96  Recurrent pregnancy loss
N97.0  Female infertility associated with anovulation
N97.1  Female infertility of tubal origin
N97.2  Female infertility of uterine origin
N97.8  Female infertility of other origin
"N97.9  Female infertility, unspecified"
N98.0  Infection associated with artificial insemination
N98.1  Hyperstimulation of ovaries
N98.2  Complications of attempted introduction of fertilized ovum following in vitro fertilization
N98.3  Complications of attempted introduction of embryo in embryo transfer
N98.8  Other complications associated with artificial fertilization
"N98.9  Complication associated with artificial fertilization, unspecified"
"N99.12  Postprocedural urethral stricture, female"
N99.2  Postprocedural adhesions of vagina
N99.3  Prolapse of vaginal vault after hysterectomy
N99.83  Residual ovary syndrome
N99.85  Post endometrial ablation syndrome
O00.00  Abdominal pregnancy without intrauterine pregnancy
O00.01  Abdominal pregnancy with intrauterine pregnancy
O00.101  Right tubal pregnancy without intrauterine pregnancy
O00.102  Left tubal pregnancy without intrauterine pregnancy
O00.109  Unspecified tubal pregnancy without intrauterine pregnancy
O00.111  Right tubal pregnancy with intrauterine pregnancy
O00.112  Left tubal pregnancy with intrauterine pregnancy
O00.119  Unspecified tubal pregnancy with intrauterine pregnancy
O00.201  Right ovarian pregnancy without intrauterine pregnancy
O00.202  Left ovarian pregnancy without intrauterine pregnancy
O00.209  Unspecified ovarian pregnancy without intrauterine pregnancy
O00.211  Right ovarian pregnancy with intrauterine pregnancy
O00.212  Left ovarian pregnancy with intrauterine pregnancy
O00.219  Unspecified ovarian pregnancy with intrauterine pregnancy
O00.80  Other ectopic pregnancy without intrauterine pregnancy
O00.81  Other ectopic pregnancy with intrauterine pregnancy
O00.90  Unspecified ectopic pregnancy without intrauterine pregnancy
O00.91  Unspecified ectopic pregnancy with intrauterine pregnancy
O01.0  Classical hydatidiform mole
O01.1  Incomplete and partial hydatidiform mole
"O01.9  Hydatidiform mole, unspecified"
O02.0  Blighted ovum and nonhydatidiform mole
O02.1  Missed abortion
O02.81  Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
O02.89  Other abnormal products of conception
"O02.9  Abnormal product of conception, unspecified"
O03.0  Genital tract and pelvic infection following incomplete spontaneous abortion
O03.1  Delayed or excessive hemorrhage following incomplete spontaneous abortion
O03.2  Embolism following incomplete spontaneous abortion
O03.30  Unspecified complication following incomplete spontaneous abortion
O03.31  Shock following incomplete spontaneous abortion
O03.32  Renal failure following incomplete spontaneous abortion
O03.33  Metabolic disorder following incomplete spontaneous abortion
O03.34  Damage to pelvic organs following incomplete spontaneous abortion
O03.35  Other venous complications following incomplete spontaneous abortion
O03.36  Cardiac arrest following incomplete spontaneous abortion
O03.37  Sepsis following incomplete spontaneous abortion
O03.38  Urinary tract infection following incomplete spontaneous abortion
O03.39  Incomplete spontaneous abortion with other complications
O03.4  Incomplete spontaneous abortion without complication
O03.5  Genital tract and pelvic infection following complete or unspecified spontaneous abortion
O03.6  Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
O03.7  Embolism following complete or unspecified spontaneous abortion
O03.80  Unspecified complication following complete or unspecified spontaneous abortion
O03.81  Shock following complete or unspecified spontaneous abortion
O03.82  Renal failure following complete or unspecified spontaneous abortion
O03.83  Metabolic disorder following complete or unspecified spontaneous abortion
O03.84  Damage to pelvic organs following complete or unspecified spontaneous abortion
O03.85  Other venous complications following complete or unspecified spontaneous abortion
O03.86  Cardiac arrest following complete or unspecified spontaneous abortion
O03.87  Sepsis following complete or unspecified spontaneous abortion
O03.88  Urinary tract infection following complete or unspecified spontaneous abortion
O03.89  Complete or unspecified spontaneous abortion with other complications
O03.9  Complete or unspecified spontaneous abortion without complication
O04.5  Genital tract and pelvic infection following (induced) termination of pregnancy
O04.6  Delayed or excessive hemorrhage following (induced) termination of pregnancy
O04.7  Embolism following (induced) termination of pregnancy
O04.80  (Induced) termination of pregnancy with unspecified complications
O04.81  Shock following (induced) termination of pregnancy
O04.82  Renal failure following (induced) termination of pregnancy
O04.83  Metabolic disorder following (induced) termination of pregnancy
O04.84  Damage to pelvic organs following (induced) termination of pregnancy
O04.85  Other venous complications following (induced) termination of pregnancy
O04.86  Cardiac arrest following (induced) termination of pregnancy
O04.87  Sepsis following (induced) termination of pregnancy
O04.88  Urinary tract infection following (induced) termination of pregnancy
O04.89  (Induced) termination of pregnancy with other complications
O07.0  Genital tract and pelvic infection following failed attempted termination of pregnancy
O07.1  Delayed or excessive hemorrhage following failed attempted termination of pregnancy
O07.2  Embolism following failed attempted termination of pregnancy
O07.30  Failed attempted termination of pregnancy with unspecified complications
O07.31  Shock following failed attempted termination of pregnancy
O07.32  Renal failure following failed attempted termination of pregnancy
O07.33  Metabolic disorder following failed attempted termination of pregnancy
O07.34  Damage to pelvic organs following failed attempted termination of pregnancy
O07.35  Other venous complications following failed attempted termination of pregnancy
O07.36  Cardiac arrest following failed attempted termination of pregnancy
O07.37  Sepsis following failed attempted termination of pregnancy
O07.38  Urinary tract infection following failed attempted termination of pregnancy
O07.39  Failed attempted termination of pregnancy with other complications
O07.4  Failed attempted termination of pregnancy without complication
O08.0  Genital tract and pelvic infection following ectopic and molar pregnancy
O08.1  Delayed or excessive hemorrhage following ectopic and molar pregnancy
O08.2  Embolism following ectopic and molar pregnancy
O08.3  Shock following ectopic and molar pregnancy
O08.4  Renal failure following ectopic and molar pregnancy
O08.5  Metabolic disorders following an ectopic and molar pregnancy
O08.6  Damage to pelvic organs and tissues following an ectopic and molar pregnancy
O08.7  Other venous complications following an ectopic and molar pregnancy
O08.81  Cardiac arrest following an ectopic and molar pregnancy
O08.82  Sepsis following ectopic and molar pregnancy
O08.83  Urinary tract infection following an ectopic and molar pregnancy
O08.89  Other complications following an ectopic and molar pregnancy
O08.9  Unspecified complication following an ectopic and molar pregnancy
"O09.00  Supervision of pregnancy with history of infertility, unspecified trimester"
"O09.01  Supervision of pregnancy with history of infertility, first trimester"
"O09.02  Supervision of pregnancy with history of infertility, second trimester"
"O09.03  Supervision of pregnancy with history of infertility, third trimester"
"O09.10  Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
"O09.11  Supervision of pregnancy with history of ectopic pregnancy, first trimester"
"O09.12  Supervision of pregnancy with history of ectopic pregnancy, second trimester"
"O09.13  Supervision of pregnancy with history of ectopic pregnancy, third trimester"
"O09.211  Supervision of pregnancy with history of pre-term labor, first trimester"
